site,zone,transect,name,family,genus,species,length.mm,weight.g
BCW,5,1,Carangidae_Caranx_ruber,Carangidae,Caranx,ruber,170.707,87.03701381
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,23.065,0.140832048
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,29.308,0.291716487
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,29.368,0.293535795
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,33.002,0.418490274
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,34.512,0.479459764
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,36.038,0.546859107
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,36.727,0.579266965
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,39.003,0.695442036
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,39.78,0.738420774
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,40.6,0.785673529
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,42.776,0.920813121
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,43.889,0.995598568
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,43.933,0.998635946
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,52.019,1.668996617
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,57.05744218,2.210611206
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,57.05744218,2.210611206
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,57.05744218,2.210611206
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,59.438,2.503099475
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,68.466,3.847395603
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,69.119,3.960036741
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,88.84,8.493622805
BCW,5,1,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,109.949,16.2384466
BCW,5,1,Pomacentridae_Abudefduf_saxatilis,Pomacentridae,Abudefduf,saxatilis,106.149,37.97114012
BCW,5,1,Pomacentridae_Abudefduf_saxatilis,Pomacentridae,Abudefduf,saxatilis,129.188,70.38594252
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,19.852,0.296518647
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,26.811,0.730429404
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,30.768,1.103918498
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,31.172,1.147977068
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,31.783,1.216813092
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,31.814,1.220377073
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,34.266,1.524858137
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,36.464,1.837520248
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,37.441,1.9892141
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,37.755,2.039682801
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,38.202,2.112990336
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,38.603,2.180230347
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,38.741,2.203696035
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,39.426,2.322669209
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,39.643,2.361232474
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,41.276,2.665213604
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,41.511,2.710995502
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,44.305,3.296077637
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,44.344,3.304789535
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,44.44,3.326299579
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,45.508,3.571926043
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,46.367,3.77803696
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,47.331,4.01861361
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,47.972,4.184106064
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,48.407,4.298963075
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,50.424,4.859046915
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,51.283,5.111630808
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,51.942,5.311231284
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,52.764,5.567398973
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,52.996,5.641160863
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,53.31,5.74202736
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,57.087,7.051002562
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,60.867,8.546433162
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,61.066,8.630533251
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.849,9.865100393
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.969,9.920827421
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,65.414,10.60843525
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,67.513,11.66276245
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,67.686,11.75264881
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,68.28,12.06478945
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,69.568,12.76050212
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,69.755,12.86368033
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,69.889,12.93795658
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,70.219,13.12209359
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,71.844,14.05434864
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,72.285,14.31474995
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,72.297,14.32188028
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,74.618,15.74599188
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,75.518,16.32264928
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,76.978,17.28777414
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,77.775,17.83032541
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,78.572,18.38411101
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,80.2,19.55070014
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,80.22,19.56533025
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,84.882,23.17853707
BCW,5,1,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,99.531,37.36924405
BCW,5,1,Pomacentridae_Chromis_multilineata,Pomacentridae,Chromis,multilineata,50.091,4.763413856
BCW,5,1,Pomacentridae_Stegastes_adustus,Pomacentridae,Stegastes,adustus,60.706,5.528818185
BCW,5,1,Pomacentridae_Stegastes_adustus,Pomacentridae,Stegastes,adustus,78.80080328,11.74158157
BCW,5,1,Pomacentridae_Stegastes_partitus,Pomacentridae,Stegastes,partitus,45.621,2.176500843
BCW,5,1,Scaridae_Scarus_iserti,Scaridae,Scarus,iserti,174.794,97.77476156
BCW,5,1,Scaridae_Scarus_taeniopterus,Scaridae,Scarus,taeniopterus,224.068,151.8704507
BCW,5,1,Scaridae_Sparisoma_viride,Scaridae,Sparisoma,viride,108.495,26.44671974
BCW,5,1,Scaridae_Sparisoma_viride,Scaridae,Sparisoma,viride,198.075,153.4544401
BCW,5,1,Scaridae_Sparisoma_viride,Scaridae,Sparisoma,viride,334.945,711.8485415
BCW,5,1,Scaridae_Sparisoma_viride,Scaridae,Sparisoma,viride,341.892,755.8395253
BCW,5,2,Chaetodontidae_Chaetodon_capistratus,Chaetodontidae,Chaetodon,capistratus,81.87006897,18.00080508
BCW,5,2,Labridae_Thalassoma_bifasciatum,Labridae,Thalassoma,bifasciatum,72.706,4.618453179
BCW,5,2,Pomacanthidae_Pomacanthus_arcuatus,Pomacanthidae,Pomacanthus,arcuatus,211.071,279.9098081
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,26.055,0.670366715
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,28.833,0.908466058
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,29.228,0.946316704
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,29.247,0.948163396
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,31.952,1.236326996
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,32.139,1.258161203
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,33.74,1.45570859
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,36.576,1.854504264
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,36.895,1.903451231
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,42.342,2.877089112
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,43.138,3.042420427
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,46.105,3.714353973
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,48.473,4.316571185
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,48.95,4.445261339
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,50.699,4.938981391
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,54.595,6.167339
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,55.03,6.315936404
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,56.397,6.79840789
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,59.327,7.914005969
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,61.25,8.708783398
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,61.433,8.787075988
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,63.88479082,9.88169946
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,65.694,10.74524515
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,65.982,10.88718584
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,67.52,11.66639055
BCW,5,2,Pomacentridae_Chromis_cyanea,Pomacentridae,Chromis,cyanea,71.157,13.65501242
